location,severity_rating5_4,severity_rating5_5,intersection_N,intersection_Y,alcohol_involved_N,alcohol_involved_Y,hazmat_involved_N,hazmat_involved_Y,hs_collision_type_1,hs_collision_type_2,hs_collision_type_3,hs_collision_type_4,hs_collision_type_5,hs_collision_type_6,hs_collision_type_7,hs_collision_type_8,hs_collision_type_9,crash_type_1.0,crash_type_2.0,crash_type_3.0,crash_type_4.0,crash_type_5.0,crash_type_6.0,crash_type_7.0,crash_type_8.0,crash_type_9.0,crash_type_10.0,crash_type_11.0,crash_type_12.0,crash_type_13.0,crash_type_14.0,crash_type_15.0,crash_type_16.0,crash_type_99.0,road_sys_code_0,road_sys_code_1,road_sys_code_2,road_sys_code_3,road_sys_code_4,road_sys_code_5,road_sys_code_6,road_sys_code_7,road_sys_code_8,road_sys_code_9,road_sys_code_10,road_horiz_align_code_0.0,road_horiz_align_code_1.0,road_horiz_align_code_2.0,road_horiz_align_code_3.0,road_grade_code_0.0,road_grade_code_4.0,road_grade_code_5.0,road_grade_code_6.0,road_grade_code_7.0,road_grade_code_8.0,road_surf_code_0.0,road_surf_code_1.0,road_surf_code_2.0,road_surf_code_3.0,road_surf_code_5.0,road_surf_code_99.0,surf_cond_code_0.0,surf_cond_code_1.0,surf_cond_code_2.0,surf_cond_code_3.0,surf_cond_code_4.0,surf_cond_code_5.0,surf_cond_code_6.0,surf_cond_code_7.0,surf_cond_code_9.0,surf_cond_code_99.0,light_cond_code_0.0,light_cond_code_1.0,light_cond_code_2.0,light_cond_code_3.0,light_cond_code_4.0,light_cond_code_5.0,light_cond_code_6.0,light_cond_code_7.0,environ_cond_code_0.0,environ_cond_code_1.0,environ_cond_code_2.0,environ_cond_code_3.0,environ_cond_code_4.0,environ_cond_code_5.0,environ_cond_code_6.0,environ_cond_code_7.0,environ_cond_code_8.0,environ_cond_code_9.0,environ_cond_code_10.0,environ_cond_code_99.0,road_median_code_0.0,road_median_code_1.0,road_median_code_2.0,road_median_code_3.0,road_median_code_4.0,road_median_code_5.0,road_median_code_99.0,temp_traffic_zone_0.0,temp_traffic_zone_1.0,temp_traffic_zone_2.0,temp_traffic_zone_3.0,temp_traffic_zone_4.0,temp_traffic_zone_5.0,posted_speed_0.0,posted_speed_2.0,posted_speed_3.0,posted_speed_4.0,posted_speed_5.0,posted_speed_10.0,posted_speed_15.0,posted_speed_20.0,posted_speed_25.0,posted_speed_26.0,posted_speed_28.0,posted_speed_30.0,posted_speed_35.0,posted_speed_36.0,posted_speed_40.0,posted_speed_45.0,posted_speed_47.0,posted_speed_50.0,posted_speed_55.0,posted_speed_56.0,posted_speed_60.0,posted_speed_65.0,first_harmful_event_0.0,first_harmful_event_1.0,first_harmful_event_2.0,first_harmful_event_3.0,first_harmful_event_5.0,first_harmful_event_6.0,first_harmful_event_7.0,first_harmful_event_9.0,first_harmful_event_11.0,first_harmful_event_12.0,first_harmful_event_13.0,first_harmful_event_14.0,first_harmful_event_19.0,first_harmful_event_21.0,first_harmful_event_22.0,first_harmful_event_23.0,first_harmful_event_24.0,first_harmful_event_26.0,first_harmful_event_27.0,first_harmful_event_28.0,first_harmful_event_29.0,first_harmful_event_30.0,first_harmful_event_39.0,first_harmful_event_41.0,first_harmful_event_42.0,first_harmful_event_43.0,first_harmful_event_44.0,first_harmful_event_45.0,first_harmful_event_46.0,first_harmful_event_47.0,first_harmful_event_48.0,first_harmful_event_49.0,first_harmful_event_50.0,first_harmful_event_51.0,first_harmful_event_52.0,first_harmful_event_53.0,first_harmful_event_54.0,first_harmful_event_55.0,first_harmful_event_56.0,first_harmful_event_57.0,first_harmful_event_58.0,first_harmful_event_59.0,first_harmful_event_60.0,first_harmful_event_61.0,first_harmful_event_62.0,first_harmful_event_69.0,first_harmful_event_99.0,flg_cell_in_use_N,flg_cell_in_use_Y
ATLANTIC-ABSECON CITY,0.03125,0.06666666666666667,0.05357142857142857,0.02631578947368421,0.01764705882352941,0.2272727272727273,0.0374331550802139,0.0,0.045454545454545456,0.0,0.1111111111111111,0.08108108108108109,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.04477611940298507,0.0,0.0,0.0,0.1,0.0,0.0,0.15217391304347827,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.048484848484848485,0.0,0.0,0.0,0.045454545454545456,0.125,0.0,0.0,0.0,0.0,0.0,0.0446927374301676,0.0,0.0,0.0,0.0,0.042682926829268296,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0625,0.08955223880597014,0.0,0.0,0.03680981595092025,0.0625,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17500000000000002,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.04419889502762431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.045454545454545456,0.0,0.14285714285714285,0.037037037037037035,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03783783783783784,0.0
ATLANTIC-ATLANTIC CITY,0.25,0.1,0.2232142857142857,0.17105263157894735,0.16470588235294117,0.4545454545454546,0.1978609625668449,0.0,0.16666666666666669,0.20634920634920634,0.0,0.16216216216216217,0.14285714285714285,0.0,0.22580645161290322,0.0,0.0,0.058823529411764705,0.14285714285714285,0.25,0.06666666666666667,0.3333333333333333,0.2,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.0,0.22388059701492538,0.125,0.0,0.0,0.0,0.0,0.0,0.17391304347826086,0.13793103448275862,0.0,0.0,0.0,0.25742574257425743,0.0,0.0,0.0,0.16666666666666666,0.20606060606060606,0.0,0.2,0.0,0.2272727272727273,0.125,0.25,0.09090909090909091,0.0,0.0,0.0,0.2122905027932961,0.0,0.0,0.0,0.0,0.20121951219512196,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14772727272727273,0.2,0.5,0.0,0.0,0.29850746268656714,0.07142857142857142,0.0,0.18404907975460122,0.3125,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.15000000000000002,0.0,0.08771929824561403,0.24137931034482757,0.0,0.0,0.20994475138121546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1897810218978102,0.0,0.0,0.0,0.18181818181818182,0.0,0.03571428571428571,0.037037037037037035,0.0,0.1276595744680851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.19047619047619047,0.0,0.0,0.2112676056338028,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.1945945945945946,0.3333333333333333
ATLANTIC-BUENA BORO,0.015625,0.016666666666666666,0.017857142857142856,0.013157894736842105,0.01764705882352941,0.0,0.010695187165775399,0.0,0.0,0.031746031746031744,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.012121212121212121,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.01675977653631285,0.0,0.0,0.0,0.0,0.012195121951219513,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0625,0.014925373134328358,0.0,0.0,0.006134969325153374,0.0625,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0
ATLANTIC-BUENA VISTA TWP,0.0703125,0.1,0.10714285714285714,0.039473684210526314,0.07647058823529412,0.09090909090909091,0.07486631016042782,0.0,0.015151515151515152,0.047619047619047616,0.0,0.2702702702702703,0.0,0.0,0.03225806451612903,0.0,0.0,0.058823529411764705,0.14285714285714285,0.041666666666666664,0.2,0.0,0.0,0.08333333333333333,0.0,0.25,0.0,0.1388888888888889,0.0,0.014925373134328358,0.0,0.0,0.0,0.1,0.0,0.0,0.06521739130434782,0.0,0.0,0.14814814814814814,0.0,0.039603960396039604,0.0,0.0,0.0,0.05555555555555555,0.07272727272727272,0.2,0.2,0.0,0.09740259740259741,0.0,0.0,0.0,0.0,0.0,0.0,0.0782122905027933,0.0,0.3333333333333333,0.0,0.0,0.07926829268292683,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09090909090909091,0.0,0.25,0.0,0.1875,0.04477611940298507,0.0,0.0,0.07975460122699386,0.0,0.5,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,0.0,0.08287292817679558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.045454545454545456,0.0,0.03571428571428571,0.07407407407407407,0.0,0.19148936170212766,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.11267605633802817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.07567567567567568,0.0
ATLANTIC-EGG HARBOR CITY,0.0390625,0.06666666666666667,0.026785714285714284,0.07894736842105263,0.047058823529411764,0.045454545454545456,0.0427807486631016,0.0,0.030303030303030304,0.06349206349206349,0.0,0.05405405405405406,0.0,0.0,0.03225806451612903,0.0,0.0,0.058823529411764705,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.1,0.0,0.0,0.08695652173913043,0.0,0.0,0.05555555555555555,0.0,0.019801980198019802,0.0,0.0,0.0,0.0,0.05454545454545454,0.0,0.0,0.0,0.05844155844155845,0.0,0.0,0.0,0.0,0.0,0.0,0.05027932960893855,0.0,0.0,0.0,0.0,0.042682926829268296,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05681818181818182,0.0,0.0,0.0,0.0,0.05970149253731343,0.0,0.0,0.04294478527607362,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.049723756906077346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.07407407407407407,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.07042253521126761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043243243243243246,0.0
ATLANTIC-EGG HARBOR TWP,0.390625,0.4,0.4821428571428571,0.2631578947368421,0.31176470588235294,0.9545454545454546,0.3903743315508021,0.0,0.19696969696969696,0.2222222222222222,0.2222222222222222,1.0,0.5714285714285714,0.0,0.12903225806451613,0.0,0.0,0.3529411764705882,0.14285714285714285,0.4583333333333333,0.26666666666666666,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.6388888888888888,0.0,0.19402985074626866,0.5,0.0,0.0,0.6000000000000001,0.0,0.0,0.45652173913043476,0.3793103448275862,1.0,0.611111111111111,0.0,0.06930693069306931,0.0,0.25,0.0,0.5555555555555556,0.3333333333333333,1.0,0.8,0.15000000000000002,0.4350649350649351,0.125,0.0,0.2727272727272727,0.0,0.0,0.0,0.40782122905027934,0.0,0.3333333333333333,0.0,0.0,0.3719512195121951,0.3913043478260869,0.3333333333333333,0.5,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.39772727272727276,0.4,0.25,0.0,0.9375,0.13432835820895522,0.42857142857142855,0.0,0.38650306748466257,0.375,1.0,0.0,0.058823529411764705,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.30000000000000004,0.5,0.07017543859649122,0.5287356321839081,0.0,0.0,0.4033149171270718,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.2727272727272727,0.0,0.2857142857142857,0.9629629629629629,0.0,0.5106382978723404,0.041666666666666664,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.7777777777777777,1.0,0.2222222222222222,0.0,0.5,0.0,0.0,0.0,0.0,0.6666666666666666,0.15873015873015872,0.0,0.0,0.3943661971830986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.8333333333333333,0.3333333333333333,0.0,0.0,1.0,0.3945945945945946,0.0
ATLANTIC-ESTELL MANOR CITY,0.015625,0.03333333333333333,0.03571428571428571,0.0,0.023529411764705882,0.0,0.0160427807486631,0.0,0.0,0.015873015873015872,0.0,0.08108108108108109,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.043478260869565216,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.01818181818181818,0.0,0.0,0.0,0.025974025974025976,0.0,0.0,0.0,0.0,0.0,0.0,0.0223463687150838,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024539877300613498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04597701149425287,0.0,0.0,0.022099447513812154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0851063829787234,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.016216216216216217,0.0
ATLANTIC-FOLSOM BORO,0.03125,0.08333333333333333,0.07142857142857142,0.013157894736842105,0.03529411764705882,0.13636363636363635,0.0427807486631016,0.0,0.030303030303030304,0.015873015873015872,0.1111111111111111,0.08108108108108109,0.14285714285714285,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.08333333333333333,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.027777777777777776,0.0,0.04477611940298507,0.125,0.0,0.0,0.0,0.0,0.0,0.15217391304347827,0.0,0.0,0.018518518518518517,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.048484848484848485,0.2,0.0,0.0,0.05844155844155845,0.0,0.0,0.0,0.0,0.0,0.0,0.05027932960893855,0.0,0.0,0.0,0.0,0.054878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05681818181818182,0.0,0.0,0.0,0.125,0.014925373134328358,0.03571428571428571,0.0,0.05521472392638037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.034482758620689655,0.0,0.0,0.049723756906077346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.02127659574468085,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.047619047619047616,0.0,0.0,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043243243243243246,0.0
ATLANTIC-GALLOWAY TWP,0.15625,0.45,0.30357142857142855,0.17105263157894735,0.22941176470588234,0.36363636363636365,0.24598930481283424,0.0,0.18181818181818182,0.1746031746031746,0.0,0.6216216216216217,0.0,0.0,0.03225806451612903,0.0,0.0,0.23529411764705882,0.14285714285714285,0.16666666666666666,0.26666666666666666,0.3333333333333333,0.0,0.25,0.0,0.0,0.0,0.4722222222222222,0.0,0.1791044776119403,0.0,0.0,0.0,0.1,0.0,0.0,0.3913043478260869,0.13793103448275862,0.0,0.38888888888888884,0.0,0.0297029702970297,0.0,0.25,0.0,0.16666666666666666,0.2606060606060606,0.2,0.0,0.15000000000000002,0.28571428571428575,0.0,0.0,0.0,0.0,0.0,0.0,0.26256983240223464,0.0,0.0,0.0,0.0,0.25,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.2,0.5,0.125,0.5625,0.08955223880597014,0.14285714285714285,0.0,0.24539877300613497,0.375,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17500000000000002,0.0,0.0,0.0,0.45977011494252873,0.0,0.0,0.2430939226519337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.14285714285714285,0.6666666666666666,0.0,0.48936170212765956,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.3333333333333333,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19047619047619047,0.0,0.0,0.23943661971830987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.24864864864864866,0.0
ATLANTIC-HAMILTON TWP,0.25,0.48333333333333334,0.46428571428571425,0.11842105263157894,0.2823529411764706,0.5909090909090909,0.320855614973262,0.0,0.09090909090909091,0.25396825396825395,0.1111111111111111,0.7027027027027027,0.2857142857142857,0.0,0.3225806451612903,0.0,0.0,0.47058823529411764,0.14285714285714285,0.20833333333333331,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,0.0,0.1111111111111111,0.75,0.0,0.08955223880597014,0.25,0.0,0.0,0.30000000000000004,0.0,0.0,0.5434782608695652,0.48275862068965514,0.0,0.24074074074074073,0.0,0.0891089108910891,0.0,0.0,0.0,0.2222222222222222,0.32727272727272727,0.4,0.2,0.2,0.35714285714285715,0.0,0.25,0.09090909090909091,0.0,0.0,0.0,0.34078212290502796,0.0,0.0,0.0,1.0,0.32926829268292684,0.21739130434782608,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.4090909090909091,0.2,1.0,0.0,0.4375,0.08955223880597014,0.21428571428571427,1.0,0.33128834355828224,0.125,0.5,0.5,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.1,0.6875,0.22807017543859648,0.3448275862068966,0.0,0.0,0.33701657458563533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.13636363636363635,0.0,0.07142857142857142,0.0,0.0,0.6382978723404256,0.41666666666666663,0.0,0.0,0.7000000000000001,0.0,0.3333333333333333,0.0,0.0,0.5555555555555556,0.7777777777777777,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.09523809523809523,0.0,0.0,0.3098591549295775,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,1.0,0.3333333333333333,0.0,0.7142857142857142,0.0,0.0,0.0,0.08333333333333333,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.31891891891891894,0.3333333333333333
ATLANTIC-HAMMONTON TOWN,0.1328125,0.11666666666666667,0.15178571428571427,0.09210526315789473,0.09411764705882353,0.36363636363636365,0.1229946524064171,0.0,0.030303030303030304,0.09523809523809523,0.0,0.40540540540540543,0.14285714285714285,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.16666666666666666,0.13333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.2222222222222222,0.0,0.029850746268656716,0.125,0.0,0.0,0.30000000000000004,0.0,0.0,0.2608695652173913,0.10344827586206896,0.0,0.1111111111111111,0.0,0.0297029702970297,0.0,0.0,0.0,0.05555555555555555,0.12121212121212122,0.2,0.4,0.0,0.14935064935064937,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.1340782122905028,0.0,0.0,0.0,0.0,0.11585365853658537,0.21739130434782608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.125,0.08955223880597014,0.0,0.0,0.11042944785276074,0.1875,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,0.22988505747126436,0.0,0.0,0.13259668508287292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0364963503649635,0.0,0.0,0.125,0.0,0.0,0.10714285714285714,0.18518518518518517,0.0,0.1702127659574468,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.0,0.5,0.0,0.0,0.0,0.0,0.16666666666666666,0.031746031746031744,0.0,0.0,0.14084507042253522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.12432432432432433,0.0
ATLANTIC-LINWOOD CITY,0.0234375,0.0,0.017857142857142856,0.013157894736842105,0.011764705882352941,0.045454545454545456,0.010695187165775399,0.0,0.0,0.015873015873015872,0.0,0.02702702702702703,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.041666666666666664,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.01818181818181818,0.0,0.0,0.0,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.0,0.01675977653631285,0.0,0.0,0.0,0.0,0.01829268292682927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.018404907975460124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010810810810810811,0.0
ATLANTIC-LONGPORT BORO,0.0078125,0.0,0.008928571428571428,0.0,0.0058823529411764705,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.006493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.00558659217877095,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011494252873563218,0.0,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
